WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((462124.534261719 5228220.55519875,468997.590382546 5229036.96292286));Sankt_Georgen_ob_Judenburg;8756;St. Georgen ob Judenburg 12;47,2063842;14,4998767;328978916;substation;Umspannwerk Pöls (i.b.);;;Pöls-Oberkurzheim;6921,374286
MULTILINESTRING ((559137.675274522 5257265.64422806,565702.361056541 5249634.55790994));Sankt_Jakob_im_Walde;8674;Kirchenviertel 24;47,4661449;15,7847186;122942230;substation;Umspannwerk Schachen;;;Vorau;10066,2097
MULTILINESTRING ((530533.745859227 5172571.80027205,521456.560905853 5177591.05285445));Sankt_Johann_im_Saggautal;8454;St. Johann 37;46,7060048;15,3994391;89555133;substation;Umspannwerk Bergla;STEWEAG;110000;St. Martin im Sulmtal;10372,47237
MULTILINESTRING ((577636.058917615 5237068.8388233,576502.046007298 5236981.60900068));Sankt_Johann_in_der_Haide;8295;Sankt Johann in der Haide 100;47,28249741;16,02661133;99731682;substation;Umspannwerk St. Johann in der Haide;;110000;St. Johann in der Haide;1137,362881
MULTILINESTRING ((525697.275999595 5195295.71055472,526334.513400467 5200332.90327156));Sankt_Josef_(Weststeiermark);8143;St. Josef 73;46,9106986;15,3374466;103774165;substation;Umspannwerk Lieboch;;"110000;20000";Lieboch;5077,340049
MULTILINESTRING ((552119.50973957 5259767.40302636,549894.060861378 5270768.4613712));Sankt_Kathrein_am_Hauenstein;8672;St. Kathrein 132;47,4892536;15,691895;97094288;substation;Umspannwerk Mürzzuschlag;;110000;Mürzzuschlag;11223,89894
MULTILINESTRING ((543537.750437762 5238791.97716587,552167.081226853 5243705.72257617));Sankt_Kathrein_am_Offenegg;8171;Dorf 2;47,30115415;15,5759172;99745003;substation;Umspannwerk Birkfeld;;;Birkfeld;9930,269071
MULTILINESTRING ((446801.814350677 5213138.75069141,451716.820207072 5220285.97194909));Sankt_Lambrecht;8813;Hauptstra�e 12;47,0696183;14,2993475;132457784;substation;Umspannwerk Teufenbach;;;Teufenbach-Katsch;8674,102505
MULTILINESTRING ((571564.853668327 5257525.41043892,575400.568945165 5249125.58214413));Sankt_Lorenzen_am_Wechsel;8251;|url;47,46723495;15,94964;96355233;substation;Umspannwerk Rohrbach;;;Rohrbach an der Lafnitz;9234,16629
MULTILINESTRING ((527876.447701798 5258866.8043052,531136.563418555 5260389.79128045));Sankt_Lorenzen_im_M�rztal;8642;Hauptstra�e 4;47,4826404;15,3700174;97094291;substation;Umspannwerk Hadersdorf;;;Kindberg;3598,311245
MULTILINESTRING ((552290.602499228 5207338.49067948,555078.168000178 5215548.27010166));Sankt_Marein_bei_Graz;8323;Markt 25;47,0174998;15,6880286;83742801;substation;Umspannwerk Oststeiermark/Wünschendorf;"Verbund Austrian Power Grid AG;STEWEAG-STEG";"380000;110000";Hofstätten an der Raab;8670,121082
MULTILINESTRING ((528088.076590191 5257980.82823063,531136.563418555 5260389.79128045));Sankt_Marein_im_M�rztal;8600;Hauptplatz 1;47,47465945;15,37277;97094291;substation;Umspannwerk Hadersdorf;;;Kindberg;3885,405374
