WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((390696.45468314 5248247.78132065,378047.620626944 5246953.55220775));Forstau;5552;Ort 111;47,3785406;13,5520082;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;12714,87444
MULTILINESTRING ((394856.883439828 5226658.2120618,395386.145183704 5216562.7732649));Tweng;5562;Tweng 141;47,18501092;13,61219537;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;10109,30277
MULTILINESTRING ((387147.600050451 5240092.05422177,378047.620626944 5246953.55220775));Untertauern;5562;Dorfstraße 17 a;47,3045751;13,5070812;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;11396,91976
MULTILINESTRING ((400264.007644181 5220961.58237235,395386.145183704 5216562.7732649));Mauterndorf;5570;Mauterndorf 52;47,13460549;13,68481068;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;6568,337974
MULTILINESTRING ((405021.103004089 5222556.83193822,395386.145183704 5216562.7732649));Mariapfarr;5571;Pfarrstraße 7;47,14965995;13,74718819;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;11347,2971
MULTILINESTRING ((408447.540577418 5222425.61834447,395386.145183704 5216562.7732649));Sankt_Andrä_im_Lungau;5572;St. Andrä 16;47,1489648;13,7924006;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;14316,87822
MULTILINESTRING ((401798.995549975 5225515.3779126,395386.145183704 5216562.7732649));Weißpriach;5573;Am Sand 116;47,175803;13,704051;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;11012,4375
MULTILINESTRING ((406384.559668357 5225324.02863212,395386.145183704 5216562.7732649));Göriach;5574;Wassering 67;47,17475005;13,76459138;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;14061,46211
MULTILINESTRING ((409651.767384534 5226537.07088352,395386.145183704 5216562.7732649));Lessach;5575;Lessach 6;47,18612001;13,80745339;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;17406,73978
MULTILINESTRING ((409782.650655131 5219860.0478854,395386.145183704 5216562.7732649));Tamsweg;5580;Marktplatz 1;47,12606765;13,81052202;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;14769,27181
