WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;power;location/operator;substation/voltage;landuse/name;Polit. Gemeinde;distance
MULTILINESTRING ((333027.575000332 5173323.63247758,344722.04705577 5178504.28599813));Lesachtal;9655;Liesing 29;46,692625;12,8161951;85489932;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Oberdrauburg;Oberdraunburg;12790,61561
MULTILINESTRING ((445715.290165962 5176284.8489967,452241.660496763 5178815.93415521));Liebenfels;9556;Hauptplatz 9;46,7379104;14,2894339;84880037;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk St. Veit an der Glan;St. Veit an der Glan;6999,992984
MULTILINESTRING ((433867.282405066 5154566.00889739,425433.50464315 5157591.34160968));Ludmannsdorf;9072;Ludmannsdorf 27;46,5414096;14,1374758;86166232;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Rosegg;St. Jakob im Rosental;8959,98021
MULTILINESTRING ((375628.794775771 5188371.69971933,374898.235240421 5187932.93315579));Lurnfeld;9812;Hauptstra�e 2;46,8372661;13,3690189;83892416;substation;;110000;KW Malta-Unterstufe;Lurnfeld;852,193248
MULTILINESTRING ((455826.878660671 5169210.92413445,455718.279939933 5168357.67385651));Magdalensberg;9064;G�rtschitztal Stra�e 135;46,67499905;14,4224624;95848249;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Lassendorf;Magdalensberg;860,1335472
MULTILINESTRING ((361075.129260325 5205782.69230496,356136.885434797 5199562.05617431));Mallnitz;9822;Mallnitz 11;46,99098848;13,17294219;83823298;substation;;110000;Kraftwerk Außerfragant;Flattach;7942,453396
MULTILINESTRING ((386307.085007832 5200996.25655713,388474.795282672 5196557.12272491));Malta;9854;Malta 13;46,9527444;13,5058494;642903514;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gmünd;Gmünd in Kärnten;4940,129251
MULTILINESTRING ((445404.684748713 5156611.8654439,446246.406541102 5154893.63664194));Maria_Rain;9161;Kirchenstra�e 1;46,5608554;14,2876964;86321271;substation;Verbund Hydro Power GmbH;110000;Kraftwerk Ferlach-Maria Rain;Ferlach;1913,323232
MULTILINESTRING ((450158.729157797 5169957.64203591,455718.279939933 5168357.67385651));Maria_Saal;9063;Am Platzl 7;46,6813205;14,3482785;95848249;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Lassendorf;Magdalensberg;5785,196892
MULTILINESTRING ((437396.89698623 5161754.65434457,429019.326153566 5163638.70613635));Maria_W�rth;9082;W�rthersee-S�duferstra�e 115;46,6064346;14,1825338;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;8586,812226
MULTILINESTRING ((440459.251318327 5203391.19700907,446904.1725545 5191880.55572147));Metnitz;9363;Marktplatz 4;46,9813695;14,2171031;151942483;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gurk;Straßburg;13192,11403
MULTILINESTRING ((456410.680539823 5195834.28888794,459152.879004625 5189815.36102072));Micheldorf;9322;Hauptstra�e 28;46,9146114;14,42756;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;6614,162463
