WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building:levels/name;name/operator;operator;addr:street/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((103004.048405534 5271421.38887337,103587.997544169 5272725.64868818));Lauterach;6923;Hofsteigstra�e 2a;47,4749803;9,7306117;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;1429,017236
MULTILINESTRING ((131915.37071145 5240139.01443588,137371.041977799 5256817.90555157));Lech;6764;Dorf 329;47,21148731;10,13874887;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;17548,49731
MULTILINESTRING ((116968.111696643 5267650.72561485,112187.903122863 5270471.01383517));Lingenau;6951;Hof 258;47,4495418;9,9184606;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;5550,172939
MULTILINESTRING ((104956.865070716 5277314.23046781,103587.997544169 5272725.64868818));Lochau;6911;Landstra�e 22;47,5289679;9,7511445;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;4788,41112
MULTILINESTRING ((109693.362209319 5232586.6330442,106588.265705494 5234092.51832373));Lor�ns;6700;Lor�ns 1;47,1309945;9,8530088;101997887;Umspannwerk Bürs II;Vorarlberger Illwerke AG;substation;"380000;220000";Bürs;3450,987507
MULTILINESTRING ((104873.187188656 5239811.29163174,107059.52771946 5235060.70106676));Ludesch;6713;Raiffeisenstra�e 56;47,192867;9,783362;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;5229,550232
MULTILINESTRING ((97228.9210804795 5266320.16708731,98500.5409907522 5267268.35835577));Lustenau;6890;Rathausstra�e 1;47,4257365;9,65894064;123173012;Umspannwerk Lustenau;Vorarlberger Energienetze GmbH;substation;110000;Lustenau;1586,216844
MULTILINESTRING ((93583.7929601357 5258029.58493403,94316.3420771704 5256328.34192977));M�der;6841;Alte Schulstr. 7;47,34920795;9,618409446;169361887;Umspannwerk Götzis;Vorarlberger Energienetze GmbH;substation;110000;Götzis;1852,256993
MULTILINESTRING ((90208.2997859521 5252594.47485341,91295.141978807 5254089.44872051));Meiningen;6812;Schweizerstra�e 58;47,2984169;9,57891573;61108302;Umspannwerk Meiningen;Vorarlberger Energienetze GmbH;substation;"380000;220000";Meiningen;1848,289159
MULTILINESTRING ((113473.034546634 5256828.16727965,113528.73322546 5262501.52973154));Mellau;6881;Platz 292;47,3504872;9,881710088;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;5673,635858
MULTILINESTRING ((136507.829486808 5256190.4791104,137371.041977799 5256817.90555157));Mittelberg;6993;Walserstra�e 52;47,3579687;10,18611033;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;1067,145606
MULTILINESTRING ((110198.175946883 5281851.13295374,103587.997544169 5272725.64868818));M�ggers;6900;Weienried 80;47,5727849;9,8164712;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;11268,0487
MULTILINESTRING ((98899.5558441682 5239287.6674065,99553.980663303 5239987.44775153));Nenzing;6710;Landstra�e 1;47,1845629;9,7053064;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;958,1045742
MULTILINESTRING ((105900.08942811 5237681.33523853,107059.52771946 5235060.70106676));N�ziders;6714;Sonnenbergstra�e 14;47,1743953;9,798732;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;2865,662334
MULTILINESTRING ((110314.870452604 5241058.42726475,107059.52771946 5235060.70106676));Raggal;6741;Raggal 220;47,20728805;9,85382258;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;6824,219798
MULTILINESTRING ((94750.7348141957 5249160.8979611,93509.3718831871 5252987.25347897));Rankweil;6830;Am Marktplatz 1;47,2704781;9,6418516;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;4022,682995
MULTILINESTRING ((114643.611356817 5259073.64119307,113528.73322546 5262501.52973154));Reuthe;6870;Vorderreuthe 139;47,3713023;9,8952012;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;3604,63217
MULTILINESTRING ((120536.551642979 5273485.10826875,112187.903122863 5270471.01383517));Riefensberg;6943;Dorf 157;47,5039221;9,9606021;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;8876,074435
MULTILINESTRING ((98608.4434729479 5242809.22039574,99553.980663303 5239987.44775153));R�ns;6822;Magnusplatz 1;47,21593835;9,698329192;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;2975,977391
