WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((419160.141023817 5377589.7572096,425762.597979082 5378618.29438513));Sarleinsbach;4152;Marktplatz 4;48,5461964;13,9046706;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;6682,089985
MULTILINESTRING ((429617.242227647 5324866.04194075,434668.57127202 5321103.34256907));Sattledt;4642;Marktgemeinde Sattledt;48,07318288;14,0551329;50899766;Umspannwerk Kremsmünster;Energie AG;substation;110000;Kremsmünster;6298,716669
MULTILINESTRING ((484926.490507968 5339332.48912272,482178.974195514 5339186.37962415));Saxen;4351;Saxen 77;48,20704283;14,79711689;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;2751,39853
MULTILINESTRING ((362797.661195187 5331042.59513593,361132.517100931 5331366.34671208));Schalchen;5231;Hauptstra�e 3 a;48,1178506;13,156479;95003268;Umspannwerk Mattighofen;;substation;110000;Schalchen;1696,325422
MULTILINESTRING ((388968.853238876 5375181.27370305,384912.816186432 5379012.97073725));Schardenberg;4784;Sch�rdinger Stra�e 4;48,5199187;13,4963661;365493403;Umspannwerk Schardenberg (i.b.);;substation;110000;Schardenberg;5579,725686
MULTILINESTRING ((383961.574795406 5368324.91637591,385366.007561848 5367261.26050209));Sch�rding;4780;Unterer Stadtplatz 1;48,4573537;13,4304856;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;1761,759125
MULTILINESTRING ((422352.931141354 5306159.83960935,433749.443098255 5306426.87764843));Scharnstein;4644;Hauptstra�e 13;47,9040639;13,96101097;95025696;Umspannwerk Kirchdorf;;substation;110000;Kirchdorf an der Krems;11399,64009
MULTILINESTRING ((426733.090012974 5345266.47830169,426414.927665978 5350422.0682324));Scharten;4612;Scharten 60;48,25637208;14,01290465;92870633;Umspannwerk Eferding;;substation;110000;Hinzenbach;5165,397837
MULTILINESTRING ((452845.313144115 5372366.02634612,462266.53299852 5375733.75307855));Schenkenfelden;4192;Markt 1;48,5026422;14,3616343;497665559;Umspannwerk Rainbach im Mühlkreis;Linz AG;substation;"110000;30000";Rainbach im Mühlkreis;10005,04707
MULTILINESTRING ((446370.506887299 5326195.74132235,440922.881626302 5322041.29268108));Schiedlberg;4521;Gemeindeplatz 1;48,08677456;14,27985215;95025698;Umspannwerk Bad Hall;;substation;110000;Bad Hall;6850,990038
MULTILINESTRING ((385809.856646927 5333700.57878935,389677.978809151 5340781.44565609));Schildorn;4920;Dorfplatz 1;48,1462993;13,4648435;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;8068,521838
MULTILINESTRING ((408731.92045715 5323191.95042264,410675.431326685 5318980.78299154));Schlatt;4691;Stadtplatz 22;48,0554771;13,77517;34258314;Umspannwerk Traunfall;;substation;110000;Roitham am Traunfall;4638,013113
MULTILINESTRING ((431152.683146246 5334460.46929719,430074.614552559 5335090.8112534));Schlei�heim;4600;Gemeinde Schlei�heim;48,15966035;14,0741935;40917240;EWW - Umspannwerk Ost;EWW;substation;110000;Wels;1248,824597
MULTILINESTRING ((434710.656496216 5309728.09826078,433749.443098255 5306426.87764843));Schlierbach;4553;Stiftsstra�e 1;47,9375419;14,1258062;95025696;Umspannwerk Kirchdorf;;substation;110000;Kirchdorf an der Krems;3438,311901
MULTILINESTRING ((415803.335993426 5341618.48190786,412292.417524792 5343247.1638294));Schl��lberg;4707;Marktplatz 1;48,2222;13,8664058;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;3870,291112
