WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((503341.093138713 5421233.46142681,499158.411928232 5400963.12544329));Litschau;3874;Stadtplatz 25;48,9440171;15,0456281;118938988;substation;Umspannwerk Gmünd;110000;EVN;Gmünd;20697,37527
MULTILINESTRING ((529234.798747735 5317706.27720187,529072.523293099 5326300.27710733));Loich;3211;Loich 5;48,0119817;15,3920021;91062369;substation;Umspannwerk Kilb (i.b.);110000;;Kilb;8595,531845
MULTILINESTRING ((529844.651522692 5338693.37334338,520028.208511981 5340571.50839357));Loosdorf;3382;Europaplatz 11;48,2007702;15,4016477;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;9994,495718
MULTILINESTRING ((535740.309981403 5401715.39582056,520264.74928276 5406037.88787496));Ludweis-Aigen;3762;Ludweis 1;48,76741839;15,4863794;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;16067,88463
MULTILINESTRING ((501822.761647628 5300760.36752952,505077.731078287 5303737.01279106));Lunz_am_See;3293;Amonstra�e 16;47,8601807;15,0243695;98635107;substation;Umspannwerk Grubberg;110000;EVN;Gaming;4410,80979
MULTILINESTRING ((587157.448761526 5391788.12899492,577267.73736245 5394355.11529772));Mailberg;2024;Mailberg 153;48,67305489;16,18389242;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;10217,42679
MULTILINESTRING ((561111.51743778 5380086.75797649,561261.051543603 5390367.76142984));Maissau;3712;Franz Gilly-Gasse 7;48,5708905;15,82842324;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;10282,09086
MULTILINESTRING ((525425.08857259 5328715.62642915,529072.523293099 5326300.27710733));Mank;3240;Schulstra�e 1;48,111195;15,3415743;91062369;substation;Umspannwerk Kilb (i.b.);110000;;Kilb;4374,664831
MULTILINESTRING ((619689.398262356 5314697.82600118,617065.104810541 5315133.45936735));Mannersdorf_am_Leithagebirge;2452;Hauptstra�e 48;47,974386;16,60374;96596880;substation;Umspannwerk Wasenbruck;110000;;Mannersdorf am Leithagebirge;2660,205359
MULTILINESTRING ((623646.743312432 5334560.64301364,620322.330713911 5324793.27609845));Mannsdorf_an_der_Donau;2304;Marchfeldstra�e 34;48,152266;16,6624862;28968803;substation;Umspannwerk Enzersdorf;;;Enzersdorf an der Fischa;10317,61482
MULTILINESTRING ((511239.289137938 5340131.36882268,520028.208511981 5340571.50839357));Marbach_an_der_Donau;3671;Marktstra�e 28;48,2143097;15,1512975;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;8799,93333
MULTILINESTRING ((641646.938292435 5349202.58845928,633651.482561956 5342638.49818779));Marchegg;2294;Hauptplatz 30;48,28017;16,9092673;329923256;substation;Umspannwerk Lassee;;EVN;Lasse;10344,78581
MULTILINESTRING ((595594.121155424 5327873.44875557,597432.934043249 5326216.24325114));Maria_Enzersdorf;2344;Hauptstra�e 37;48,0969528;16,2839187;25541069;substation;Umspannwerk Wr. Neudorf;110000;;Wiener Neudorf;2475,391468
MULTILINESTRING ((525560.88266923 5349998.46910371,519038.711898816 5349895.53807386));Maria_Laach_am_Jauerling;3643;Maria Laach am Jauerling 22;48,3026649;15,344681;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;6522,982934
MULTILINESTRING ((511853.223797449 5341417.45551425,520028.208511981 5340571.50839357));Maria_Taferl;3672;Maria Taferl Nr. 35;48,2258692;15,1595979;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;8218,637455
