wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (14.87450119999999743 46.65834880000001306, 14.87454160000000059 46.65840539999999237, 14.87456740000000011 46.65844169999999025, 14.87462189999999929 46.65851810000000199);598515649;1.0;;110000;0;;;20,96
LineString (14.29910059999999916 46.54551440000001605, 14.30055130000000041 46.54723860000000712);598186534;1.0;;110000;0;117/0;KNG-Kärnten Netz GmbH;221,54
LineString (14.29863899999999965 46.54617090000000701, 14.29877710000000057 46.54565709999999967);598186533;1.0;;110000;0;;Verbund Hydro Power GmbH;58,07
LineString (14.29877180000000259 46.54631379999998586, 14.29898769999999963 46.54556209999999083);598186532;1.0;;110000;0;;Verbund Hydro Power GmbH;85,15
LineString (14.29898769999999963 46.54556209999999083, 14.29887130000000006 46.54544529999999725);598186531;1.0;;110000;0;;;15,75
LineString (14.2986216000000006 46.54555800000000687, 14.29866540000000086 46.54553820000000997, 14.29876319999999978 46.5454941000000062, 14.29887130000000006 46.54544529999999725, 14.29898629999999926 46.54539340000000891, 14.29909540000000057 46.54534420000000949, 14.29913990000000013 46.54532410000000908);598186537;1.0;;110000;0;;;47,48
LineString (14.29876319999999978 46.5454941000000062, 14.2987365999999998 46.54546489999999181, 14.29865419999999965 46.54537460000000237);598186536;1.0;;110000;0;;;15,69
LineString (14.29921030000000037 46.5454624999999993, 14.29914110000000171 46.54539119999999741, 14.29909540000000057 46.54534420000000949);598186535;1.0;;110000;0;;;15,82
LineString (14.48303750000000001 46.55960950000000764, 14.48297119999999971 46.55961479999998431, 14.48289399999999816 46.55962099999999282);598345286;1.0;;110000;0;;;11,07
LineString (14.30055130000000041 46.54723860000000712, 14.29921030000000037 46.5454624999999993);598186539;1.0;;110000;0;117/9;KNG-Kärnten Netz GmbH;222,54
LineString (14.29898629999999926 46.54539340000000891, 14.29903200000000218 46.5454416999999836, 14.29910059999999916 46.54551440000001605);598186538;1.0;;110000;0;;;16,05
LineString (14.48303750000000001 46.55960950000000764, 14.4830962999999997 46.55960389999999904, 14.48321460000000194 46.55959250000000083, 14.48325810000000047 46.55958830000000148);598345294;1.0;;110000;0;;;17,07
LineString (14.48324369999999917 46.55974489999999832, 14.48322450000000217 46.55964409999999987, 14.48321460000000194 46.55959250000000083, 14.48320179999999979 46.55953100000000688, 14.4831789999999998 46.55942099999999328);598345291;1.0;;110000;0;;;36,33
LineString (14.48312550000000165 46.55975749999999636, 14.48310649999999988 46.55965779999999654, 14.4830962999999997 46.55960389999999904, 14.48308459999999975 46.55954300000000501, 14.48306370000000065 46.55943389999999482);598345289;1.0;;110000;0;;;36,27
LineString (14.29877710000000057 46.54565709999999967, 14.29866540000000086 46.54553820000000997);598186530;1.0;;110000;0;;;15,75
LineString (14.68089270000000113 46.66766770000000264, 14.68094120000000125 46.66765440000000353, 14.681046499999999 46.66762549999999976, 14.68114890000000017 46.66759749999999229, 14.68125339999999923 46.66756879999999796, 14.68136140000000012 46.66753919999999312, 14.68146630000000208 46.66751039999999051, 14.68156560000000077 46.6674831999999995, 14.68166210000000049 46.66745670000000956, 14.68176910000000213 46.66742740000000111, 14.68197679999999927 46.66737039999998871, 14.68207689999999843 46.66734300000000957, 14.68218169999999922 46.66731430000000103, 14.68222839999999962 46.66730140000000659);597914328;1.0;;110000;0;;;109,99
LineString (14.68120959999999897 46.66781949999998602, 14.68126800000000109 46.667803499999998, 14.68137229999999782 46.6677749999999989, 14.68158140000000245 46.66771769999999719, 14.68188600000000221 46.66763429999999602, 14.68230239999999931 46.66752019999999135, 14.68235849999999942 46.66750479999998902);597914327;1.0;;110000;0;;;94,59
LineString (14.68048369999999814 46.66697669999999221, 14.68074780000000068 46.66732810000000597);597914326;1.0;;110000;0;112/6;KNG-Kärnten Netz GmbH;43,96
LineString (14.68048369999999814 46.66697669999999221, 14.68085379999999951 46.66729970000000094);597914325;2.0;;110000;0;112/7;KNG-Kärnten Netz GmbH;91,42
LineString (14.68178720000000048 46.66704099999999755, 14.68182039999999944 46.66709869999999682, 14.68184890000000031 46.66714809999999858, 14.68193980000000032 46.66730619999999874, 14.68197679999999927 46.66737039999998871);597914332;1.0;;110000;0;;;39,37
LineString (14.68188710000000086 46.66701409999999584, 14.68192010000000103 46.66707130000001058, 14.68194890000000186 46.66712119999999686, 14.68203980000000186 46.66727860000001016, 14.68207689999999843 46.66734300000000957);597914331;1.0;;110000;0;;;39,33
LineString (14.68073710000000176 46.66739619999999888, 14.68078110000000081 46.66738420000000076, 14.68088659999999734 46.66735520000000292, 14.68109690000000178 46.66729740000000959, 14.68119949999999996 46.66726919999999978, 14.6814093000000021 46.66721159999999458, 14.68150799999999911 46.66718449999999052, 14.68161520000000131 46.66715509999999512, 14.68182039999999944 46.66709869999999682, 14.68192010000000103 46.66707130000001058, 14.68197359999999918 46.66705660000000222);597914330;1.0;;110000;0;;;101,84
LineString (14.68219760000000029 46.66723520000000036, 14.68214400000000097 46.66724989999999451, 14.68203980000000186 46.66727860000001016, 14.68193980000000032 46.66730619999999874, 14.68173290000000009 46.66736319999999694, 14.68162580000000261 46.66739269999999351, 14.68152890000000177 46.6674194000000071, 14.68143080000000111 46.66744649999998984, 14.68132360000000247 46.66747600000000062, 14.6812168000000014 46.66750540000000314, 14.68111230000000056 46.66753419999999153, 14.68100930000000126 46.66756269999999773, 14.68090399999999995 46.66759170000000267, 14.68085510000000049 46.66760510000000295);597914329;1.0;;110000;0;;;110,62
LineString (14.68085379999999951 46.66729970000000094, 14.68088659999999734 46.66735520000000292, 14.68091830000000009 46.66740889999998387, 14.68100930000000126 46.66756269999999773, 14.681046499999999 46.66762549999999976);597914337;1.0;;110000;0;;;39,09
LineString (14.68074780000000068 46.66732810000000597, 14.68078110000000081 46.66738420000000076, 14.68081369999999986 46.66743930000000518, 14.68090399999999995 46.66759170000000267, 14.68094120000000125 46.66765440000000353);597914335;1.0;;110000;0;;;39,16
LineString (14.68137680000000067 46.66715510000000222, 14.6814093000000021 46.66721159999999458, 14.68143880000000046 46.66726289999999011, 14.68152890000000177 46.6674194000000071, 14.68156560000000077 46.6674831999999995);597914334;1.0;;110000;0;;;39,22
LineString (14.68147470000000254 46.66712560000000565, 14.68150799999999911 46.66718449999999052, 14.68153850000000205 46.66723830000000817, 14.68162580000000261 46.66739269999999351, 14.68166210000000049 46.66745670000000956);597914333;1.0;;110000;0;;;39,49
LineString (14.68161550000000126 46.66777910000000418, 14.68158140000000245 46.66771769999999719, 14.68154920000000097 46.66765959999999325, 14.68146630000000208 46.66751039999999051, 14.68143080000000111 46.66744649999998984);597914316;1.0;;110000;0;;;39,57
LineString (14.68136269999999755 46.66796759999999011, 14.68126800000000109 46.667803499999998, 14.68123609999999957 46.66774850000000185, 14.68114890000000017 46.66759749999999229, 14.68111230000000056 46.66753419999999153);597914315;1.0;;110000;0;;;51,83
LineString (14.68161550000000126 46.66777910000000418, 14.68180230000000108 46.66804900000000345);597914314;1.0;;110000;0;;Austrian Power Grid AG;33,22
LineString (14.68248709999999946 46.6678639000000004, 14.68233700000000042 46.66757939999999394);597914313;1.0;;110000;0;;Austrian Power Grid AG;33,63
LineString (14.68137229999999782 46.6677749999999989, 14.68125339999999923 46.66756879999999796, 14.6812168000000014 46.66750540000000314, 14.68109690000000178 46.66729740000000959);597914320;1.0;;110000;0;;;57,1
LineString (14.68136140000000012 46.66753919999999312, 14.68132360000000247 46.66747600000000062, 14.68119949999999996 46.66726919999999978);597914319;1.0;;110000;0;;;32,46
LineString (14.68188600000000221 46.66763429999999602, 14.68176910000000213 46.66742740000000111, 14.68173290000000009 46.66736319999999694, 14.68161520000000131 46.66715509999999512);597914318;1.0;;110000;0;;;57,14
LineString (14.68233700000000042 46.66757939999999394, 14.68230239999999931 46.66752019999999135, 14.68226730000000124 46.66746049999999002, 14.68218169999999922 46.66731430000000103, 14.68214400000000097 46.66724989999999451);597914317;1.0;;110000;0;;;39,48
LineString (14.6812106 46.66674309999999082, 14.68137680000000067 46.66715510000000222);597914324;1.0;;110000;1;116/2B;Austrian Power Grid AG;47,51
LineString (14.6812106 46.66674309999999082, 14.68147470000000254 46.66712560000000565);597914323;1.0;;110000;1;116/3;Austrian Power Grid AG;47,06
LineString (14.68161500000000252 46.66663159999999522, 14.68178720000000048 46.66704099999999755);597914322;1.0;"Bleiburg - Obersielach;Schwabeck - Obersielach";110000;1;116/7;KNG-Kärnten Netz GmbH;47,36
LineString (14.68161500000000252 46.66663159999999522, 14.68188710000000086 46.66701409999999584);597914321;1.0;"Bleiburg - Obersielach;Schwabeck - Obersielach";110000;1;116/8;KNG-Kärnten Netz GmbH;47,33
