wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (16.41697299999999871 48.12262249999998431, 16.41672069999999906 48.12311219999998713);122666602;1.0;;380000;0;;Austrian Power Grid AG;57,58
LineString (16.42236210000000085 48.11897089999998656, 16.41905159999999952 48.12071879999999879, 16.41940170000000165 48.12237339999999364);119480522;2.0;;380000;2;443;Austrian Power Grid AG;499,57
LineString (16.4158173000000005 48.12463550000000367, 16.41581809999999919 48.12575819999999993, 16.41093830000000153 48.12606329999999133, 16.40597169999999849 48.1263715999999917, 16.40145259999999894 48.12665280000000223, 16.39710880000000159 48.12692359999998359, 16.39262820000000076 48.12720349999999314, 16.3879835000000007 48.12749420000000811, 16.3853307000000008 48.12805190000000266, 16.38131519999999952 48.1283035999999953, 16.37682669999999874 48.12858469999999755, 16.37298570000000097 48.12882419999998973, 16.36927409999999838 48.1290494999999936, 16.36567790000000144 48.12927930000000032, 16.36491459999999876 48.12932420000000633, 16.36176190000000119 48.12950969999999984, 16.35773419999999945 48.12975820000000482, 16.35446950000000044 48.13103449999999128, 16.35127909999999929 48.1322732000000002, 16.34831750000000028 48.13342310000000168, 16.34516259999999832 48.13464799999999144, 16.34162339999999958 48.13602210000000525);25540878;2.0;;380000;2;501;Wien Energie GmbH;5861,07
LineString (16.42003850000000043 48.12265370000000075, 16.42106910000000042 48.12100339999999932, 16.42236210000000085 48.11897089999998656);25541125;2.0;;380000;2;435C;Austrian Power Grid AG;444,43
LineString (16.42057519999999826 48.33711559999999707, 16.41992169999999973 48.33517789999999081, 16.41796580000000105 48.332710100000007, 16.4160010000000014 48.33023079999999538, 16.41405749999999841 48.32777819999999025, 16.41212429999999856 48.32533859999999493, 16.41037870000000254 48.32313550000000646, 16.40836240000000501 48.32059089999999912, 16.4069445000000016 48.31880130000000406, 16.40542470000000108 48.31688299999999714, 16.40443219999999869 48.31482649999999524, 16.40342270000000013 48.31273449999999769, 16.40231590000000139 48.31044110000000558, 16.40143640000000147 48.30861829999998491, 16.40032280000000142 48.30631049999998794, 16.39922980000000052 48.30404529999999852, 16.39822290000000038 48.30195829999999546, 16.39711439999999953 48.29966079999999096, 16.3960304999999984 48.29741399999999629);23049236;2.0;Bisamberg - Wien Nord 2;380000;3;510;Wien Energie GmbH;4794,75
LineString (16.42554540000000074 48.12515280000000217, 16.42448909999999529 48.12528729999998234);194940678;1.0;;220000;1;;Austrian Power Grid AG;80,02
LineString (16.42449279999999945 48.12577109999999436, 16.42522269999999907 48.12590459999999837);194940677;1.0;;220000;2;;Austrian Power Grid AG;56,31
LineString (16.42554540000000074 48.12515280000000217, 16.42448720000000151 48.12502899999999073);194940676;1.0;;220000;1;;Austrian Power Grid AG;79,95
LineString (16.42449489999999912 48.1260475999999926, 16.42522269999999907 48.12590459999999837);194940675;1.0;;220000;2;;Austrian Power Grid AG;56,45
LineString (16.41697299999999871 48.12262249999998431, 16.41699910000000173 48.12311090000000036);122666601;1.0;;220000;0;;Austrian Power Grid AG;54,33
