WKT;full_id;osm_id;osm_type;frequency;local_wiki;name;operator;plant_meth;plant_outp;plant_sour;power;voltage;wikidata;disused_pl;plant_ou_1;website;wikipedia;bicycle;bridge;foot;highway;horse;layer;maxweight;motor_vehi;surface;barrier;name_en;start_date;generator_;addr_city;addr_count;addr_house;addr_place;addr_postc;addr_stree;addr_subur;at_bev_add;contact_fa;contact_ph;contact_we;generato_1;generato_2;generato_3;generato_4;plant_ou_2;generato_5;capacity;diameter;flow_direc;location;man_made;pressure;substance;usage;waterway;descriptio;generato_6;plant_ou_3;email;phone;constructi;canal;direction;tunnel;OBJECTID;BL_KZ;BL;ST_KZ;ST;FL;FL_KM;STAND;Shape__Are;Shape__Len
POINT (14.7010414472263 47.6870548451236);w868159511;868159511;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7003304746658 47.6878112248858);w868159512;868159512;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.6988961275154 47.6881332590777);w868159514;868159514;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7010833905709 47.6871194612002);w868159517;868159517;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7008733551336 47.6865496555768);w868159518;868159518;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7007136909439 47.6876308284613);w868159519;868159519;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.699287191041 47.6880060443767);w868159521;868159521;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7010853584894 47.6871821039548);w868159524;868159524;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (14.7005591083526 47.6876906223436);w868159525;868159525;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (15.2384178146643 46.7393823223644);w876554058;876554058;way;;;Photovoltaikanlage eco-tec.at;eco-tec.at Photovoltaics GmbH;photovoltaic;780 kWp;solar;plant;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
