WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (17.054824 47.8028981);n2123478202;2123478202;node;wind_turbine;;3 MW;wind;generator;W-07265-032;;;;119,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.060581 47.803885);n2123478203;2123478203;node;wind_turbine;;3 MW;wind;generator;W-07265-031;;;;119,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0338825 47.8048106);n2123478205;2123478205;node;wind_turbine;;3 MW;wind;generator;W-07265-023;horizontal_axis;;;120,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0647632 47.8069118);n2123478207;2123478207;node;wind_turbine;;3 MW;wind;generator;W-07265-030;;;;120,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0468671 47.8072028);n2123478208;2123478208;node;wind_turbine;;3 MW;wind;generator;W-07265-021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0389898 47.8075365);n2123478209;2123478209;node;wind_turbine;;3 MW;wind;generator;W-07265-022;;;;120,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.058602 47.8076359);n2123478210;2123478210;node;wind_turbine;;3 MW;wind;generator;W-07265-027;;;;119,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.070111 47.809771);n2123478213;2123478213;node;wind_turbine;;3 MW;wind;generator;W-07265-029;;;;120,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.051286 47.8097051);n2123478214;2123478214;node;wind_turbine;;3 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0653582 47.8112397);n2123478215;2123478215;node;wind_turbine;;3 MW;wind;generator;W-07265-028;;;;120,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0355716 47.812063);n2123478216;2123478216;node;wind_turbine;;3 MW;wind;generator;W-07265-011;;;;121,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
