full_id;osm_id;osm_type;barrier;location;substation;access;name;plant:source;power;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;operator;contact:fax;contact:phone;contact:website;frequency;generator:method;generator:output:electricity;generator:output:hot_water;generator:source;email;phone;website;plant:method;plant:output:electricity;wikidata;wikipedia;plant:output:hot_water;landuse;voltage;building;name:abbreviation;addr:street;addr:suburb;ref;description:de;substance;building:levels;height;building:material;roof:material;source:geometry;roof:shape;service;start_date;transformer;voltage:secondary;commissioning;gas_insulated;rating;designation;alt_name;at_bev:addr_date;roof:levels;street_cabinet;man_made
584431023;way;;50;Umspannwerk Pottenstein;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;198;;;;;;;;;
80855358;way;;50;Umspannwerk Poysdorf;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;24;;;;;;;;;
90866864;way;;50;Umspannwerk Sallingberg;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;39;;;;;;;;;
107248400;way;;;Umspannwerk Sarasdorf;"380000;110000";;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;SAR;;;;;;;;;;;;;;;;76;;;;;;;;;
136384702;way;fence;;Umspannwerk Scharndorf;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102;;;;;;;;;
128191035;way;;;Umspannwerk Schöller;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;
194940326;way;;50;Umspannwerk Schwechat;110000;Wien Energie GmbH;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;indoor;;;;;;;;;;;;;;;;;;134;;;;;;;;;
87325780;way;fence;;Umspannwerk Spannberg;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;
85620021;way;;50;Umspannwerk St. Pölten;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;SPO;;;;;;;;;;;;;;;;29;;;;;;;;;
47002504;way;;50;Umspannwerk Stratzdorf;110000;EVN;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;STR;;;;;;;;;;;;;;;;19;;;;;;;;;
83202471;way;fence;50;Umspannwerk Ternitz;"220000;110000";Verbund Austrian Power Grid AG;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;25;;;;;;;;;
47001881;way;;;Umspannwerk Theiß;"380000;110000";EVN;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;THE;;;;;;;;;;;;;;;;18;;;;;;;;;
90073458;way;;50;Umspannwerk Traisen;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;TRA;;;;;;;;;;;;;;;;35;;;;;;;;;
33624954;way;;50;Umspannwerk Traiskirchen;110000;;substation;;distribution;;;;;;;;;;industrial;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;
288347513;way;;;Umspannwerk Tulln-West;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;;;;;;;;;
33682610;way;;50;Umspannwerk Türnitz;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;14;;;;;;;;;
30222212;way;;50;Umspannwerk Ulmerfeld-Hausmening;110000;EVN;substation;;distribution;;;3300;;;;;;;;;;;;;;;;;;;;outdoor;;HSM;;;;;;;;;;;;;;;;10;;;;;;;;;
88285465;way;;50;Umspannwerk Waidhofen an der Thaya;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;33;;;;;;;;;
106530735;way;;50;Umspannwerk Waldegg;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;74;;;;;;;;;
96596880;way;;50;Umspannwerk Wasenbruck;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;WAS;;;;;;;;;;;;;;;;56;;;;;;;;;
96358427;way;;50;Umspannwerk Wiener Neustadt;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;WRN;;;;;;;;;;;;;;;;55;;;;;;;;;
321946617;way;;;Umspannwerk Wilhelmsburg;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;
675291183;way;;;Umspannwerk WP Pottendorf;;Wiener Netze;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;construction;;;;;;;;;;;;;;;;;;;;;;;;;;
25541069;way;fixme;50;Umspannwerk Wr. Neudorf;110000;;substation;;distribution;;;;;;;;;;industrial;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;
30076588;way;;50;Umspannwerk Ybbsfeld;"220000;110000";;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;9;;;;;;;;;
86693139;way;;50;Umspannwerk Zwettl;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;30;;;;;;;;;
30534045;way;;;UW Agrana Zuckerfabrick Tulln (ib);;;substation;;;;;3430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;
746495718;way;;;UW Agrana Zuckerfabrick Tulln 2 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;;;;;;;;;
203671490;way;;;UW Aigenfließen (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;
274806255;way;;;UW Aigenfließen 2 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;
290568180;way;;;UW Allersdorf (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837118;way;;;UW Allersdorf 2 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837008;way;;;UW Allersdorf 3 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837093;way;;;UW Allersdorf 4 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837065;way;;;UW Allersdorf 5 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837045;way;;;UW Allersdorf 6 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
298837095;way;;;UW Allersdorf 7 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
335028517;way;;;UW Amstetten Mitte (ib);;EWA;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
335028593;way;;;UW Amstetten Mitte 2 (ib);;EWA;substation;;;;;;;;;;;;;;;;;;;;;;;;;;shed;;;;;;;;;;;;;;;;;;;;;;;;;;
351401212;way;;;UW Amstetten Mitte 3 (ib);;EWA;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
438198120;way;;;UW Amstetten Mitte 4 (ib);;EWA;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
438198150;way;;;UW Amstetten Mitte 5 (ib);;;substation;;;AT;19;3300;;Stefan-Fadinger-Straße;Amstetten;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
464110970;way;;;UW Amstetten Mitte 6 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;TST SKU;;;;;;;;;;;;;;;;;;;;;
351401197;way;;;UW Amstetten Mitte 7 (ib);;EWA;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
260627443;way;;;UW Biedermannsdorf (ib);;Wienstrom;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
244660093;way;;;UW Blindenmarkt (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
147669669;way;;;UW Dörfles (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
118091356;way;;;UW Dürnrohr Nord (ib);;;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;
191903501;way;;;UW Enzersfeld Süd (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;;;
609591139;way;;;UW Gewerbepark Krems Ost Nord (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
609591197;way;;;UW Gewerbepark Krems Ost Süd (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
708080305;way;;;UW Gmünd Bahnhof (ib);;;substation;;traction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;
206078994;way;;;UW Göpfritz an der Wild (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;;;;
222614740;way;;;UW Grafenberg (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
258105522;way;;;UW Greinsfurth (ib);;Netz Niederösterreich GmbH;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;TST Winklarn Kleingreinsfurth;;;;;;;;;;;;;;;;;;;;;
288192553;way;;;UW Greinsfurth 2 (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
