full_id;osm_id;osm_type;barrier;landuse;name;power;substation;voltage;building;operator;frequency;location;addr:country;addr:housenumber;addr:postcode;addr:street;name:abbreviation;addr:city;building:levels;height;ref;man_made;roof:orientation;roof:shape;inscription;historic;shop;access;railway:ref;addr:place;at_bev:addr_date;transformer;description;emergency;building:colour;street_cabinet;addr:village;source:location;addr:suburb;layer;railway:position:exact;substance;material;reg;object:postcode;object:street;object:suburb;url;phone;est_name;website;start_date;covered;plant:source;alt_name;plant:method;plant:output:electricity;waterway;wikidata;wikipedia;plant:output:heat;plant:output:cold_water;plant:output:hot_water;generator:type;fence_type;plant:output;contact:website
69866540;way;;;UW Flachau (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414084312;way;;;UW Gewerbegebiet Weitwörth (i.B.);substation;distribution;;;Salzburg Netz;;;;;;;;;;;Weitwörth Webersberger;street_cabinet;;;;;;;;;;;;;;power;;;;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;
404737810;way;;;UW Gröding (i.B.);substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;;;;;;;;;;;;;;;;;;;
157572892;way;;;UW Hallein-Gries (i.B.);substation;;;transformer_tower;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;minor_distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313684020;way;;;UW Hüttau (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313802942;way;;;UW Jauchsdorf-Vollern (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155340915;way;;;UW Klausen (i.B.);substation;;;yes;;;;AT;14;5730;;;Mittersill;;;;;;;;;;;;Feldstein;2017-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207430085;way;;;UW Laderding (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220456274;way;;;UW Lend (i.B.);substation;transmission;60000;yes;;50;indoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424809581;way;;;UW Lengfelden (i.B.);substation;;;yes;SalzburgAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128890334;way;;;UW Lungötz (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313548294;way;;;UW Mitterberghütten (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159555241;way;;;UW Mitterberghütten Süd (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228884725;way;;;UW Neukirchen am Großvenediger Ost (i.B.);substation;distribution;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328043006;way;;;UW Neukirchen am Großvenediger West (i.B.);substation;distribution;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151292481;way;;;UW Obereching (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188954494;way;;;UW Oberndorf bei Salzburg (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112481895;way;fence;;UW Ramseiden (i.B.);substation;transition;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;
128221890;way;;;UW Saalfelden am Steinernen Meer (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83803297;way;;;UW Schwarzach (i.B.);substation;transmission;110000;;;;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;
242222861;way;;;UW Seekirchen am Wallersee 2 (i.B.);substation;;;transformer_tower;Salzburg Netz;;;;;;;;;;7;Obertrum Wimm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104970552;way;;;UW Siezenheim (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153202506;way;;;UW St. Georgen bei Salzburg (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158558763;way;;;UW St. Johann im Pongau Nord (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122901147;way;;;UW St. Johann im Pongau Ost (i.B.);substation;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
