full_id;osm_id;osm_type;building;location;operator;landuse;power;building:height;roof:height;roof:shape;addr:city;addr:country;addr:housenumber;addr:postcode;addr:street;name;start_date;substation;voltage;building:levels;covered;addr:suburb;alt_name;frequency;contact:phone;contact:phone2;ref;building:colour;building:material;height;roof:colour;roof:material;addr:place;at_bev:addr_date;building:roof:shape;amenity;wheelchair;layer;gas_insulated;disused;noaddress;old_name;transformer;rating;barrier;name:abbreviation;description;construction:start_date;building:part;commissioning;plant:output:electricity;plant:source;website;wikidata;wikipedia;plant:output;plant:method;generator:type
102767009;way;;substation;Umspannwerk Unterrohr;110000;STEWEAG;;;;;;;;;outdoor;;distribution;industrial;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89451551;way;;substation;Umspannwerk Weißenbach;220000;Verbund Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;
79122729;way;;substation;Umspannwerk Weiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
435879325;way;yes;substation;UW Admont Nord (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436326037;way;;substation;UW Admont Nord 2 (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;;;;
436326038;way;;substation;UW Admont Nord 3 (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;
679936006;way;yes;substation;UW Aigen im Ennstal Ost (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233307612;way;yes;substation;UW Altaussee (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487490065;way;yes;substation;UW Altenmarkt bei St Gallen (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166045477;way;yes;substation;UW Altlassing (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302654569;way;yes;substation;UW Ardning (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
676423768;way;yes;substation;UW Au bei Gaishorn am See (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95644443;way;;substation;UW Bad Aussee (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;
259328506;way;house;substation;UW Bad Aussee 2 (ib);;Energie AG;;;;;;;;;;;;;;;;;;;;;#feeba9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163002143;way;yes;substation;UW Bad Gleichberg (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226209044;way;yes;substation;UW Bad Gleichberg 2 (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136656208;way;yes;substation;UW Bärnbach (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401524415;way;yes;substation;UW Bleiberg West (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173906639;way;yes;substation;UW Bruck an der Mur Mitte (ib);;Stadtwerke Bruck;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173948925;way;yes;substation;UW Bruck an der Mur Mitte 2 (ib);;Stadtwerke Bruck;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173078177;way;yes;substation;UW Bruck an der Mur Nord (ib);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
