WKT;fid;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;fid_2;id;name_2;osm_id_2;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((600949.895317446 5343249.9355277,603149.77256442 5345823.06432798));469;w389461258;389461258;way;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138;334;UW Wien Nord;;4228;y;n;n;3385,328895
MULTILINESTRING ((601060.272104247 5320344.23238887,595815.364287863 5318217.7684893));470;w391383538;391383538;way;;Solarkraftwerk Guntramsdorf;photovoltaic;yes;solar;plant;;;;;;;;Wien Energie;;;;;;;15.08.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;176;UW Traiskirchen;;9051;y;n;n;5659,585384
MULTILINESTRING ((360114.048542731 5306970.89104363,359408.157563102 5305899.04833625));471;w392105888;392105888;way;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;758;UW Seekirchen;;9159;y;n;n;1283,405183
MULTILINESTRING ((557310.356590959 5320364.35168477,557293.171210071 5320301.96841294));472;w402034967;402034967;way;;Naturwärme Kirchtal;;;;plant;;;;;;;;Naturwärme Kirchtal GmbH & Co KG;;;;;;;;;http://www.naturwaerme.co.at/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;359;153;UW Hainfeld;;9078;y;n;n;64,70710873
MULTILINESTRING ((358501.35520866 5168143.88966636,352384.666916754 5167981.70410227));473;w404135199;404135199;way;;Elektrizitätswerk;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;431;UW Wuermlach;;9026;y;n;n;6118,83811
MULTILINESTRING ((456728.627441771 5212291.42793811,451716.994698252 5220285.97208309));474;w422161553;422161553;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;486;490;UW Teufenbach;;9207;y;n;n;9435,528541
MULTILINESTRING ((590376.219841317 5273556.43184346,584654.823018035 5273644.38271098));475;w444737052;444737052;way;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373;169;UW Edlitz;;9092;y;n;n;5722,072786
MULTILINESTRING ((471980.652800133 5224604.31563872,472489.886648228 5224576.25482584));476;w448976776;448976776;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;449;487;UW Judenburg West;;9170;y;n;n;510,0063934
MULTILINESTRING ((605618.834589926 5387713.1276914,601752.638152438 5396679.29390502));477;w449002393;449002393;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;365;307;UW Laa an der Thaya;;9084;y;n;n;9764,200503
MULTILINESTRING ((469637.548186986 5278174.4854734,476699.742138278 5283409.94100133));478;w467809112;467809112;way;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;8791,164769
MULTILINESTRING ((450773.347743041 5161291.19993369,447927.327793836 5161576.25107838));479;w478122693;478122693;way;;Heizwerk Ebenthal;;;;plant;;;;;;;;BC Regionalwärme Ebenthal GmbH;;;;;;;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311;462;UW Klagenfurt;;9029;y;n;n;2860,259377
MULTILINESTRING ((294075.646283818 5239965.87286452,308806.374903588 5239198.73510052));480;w478380230;478380230;way;;;;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446;393;UW Mittersill;;9166;y;n;n;14750,69036
MULTILINESTRING ((523568.680726085 5259350.26888024,522309.06271675 5254304.24263749));481;w485018080;485018080;way;;;;yes;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;466;252;UW Kapfenberg;;9187;y;n;n;5200,867079
MULTILINESTRING ((615532.053870787 5298327.13826124,615687.124344125 5300099.51777279));482;w485568829;485568829;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;262;UW Eisenstadt;;4238;y;n;n;1779,150355
MULTILINESTRING ((548176.288900084 5389310.34272564,546602.906172449 5388484.64014378));483;w491954031;491954031;way;;;;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353;70;UW Horn;;9072;y;n;n;1776,884341
MULTILINESTRING ((545886.649779654 5182345.77326878,544622.330606468 5181469.97208158));484;w499944279;499944279;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;366;KW Gabersdorf;;4253;y;n;n;1538,028183
MULTILINESTRING ((545726.127220911 5182148.49978025,544622.330606468 5181469.97208158));485;w499944281;499944281;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;366;KW Gabersdorf;;4253;y;n;n;1295,672337
MULTILINESTRING ((599039.076463395 5331201.8404023,596492.387147015 5332434.59706009));486;w521890009;521890009;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544;181;UW Liesing;;9269;y;n;n;2829,366617
MULTILINESTRING ((598860.540235113 5330491.00897715,596492.387147015 5332434.59706009));487;w521896441;521896441;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544;181;UW Liesing;;9269;y;n;n;3063,60632
MULTILINESTRING ((606165.748647948 5348392.72498731,605408.879151843 5347518.81293108));488;w522560591;522560591;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1156,102814
MULTILINESTRING ((606174.982044511 5348386.38382444,605408.879151843 5347518.81293108));489;w522560592;522560592;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1157,407835
MULTILINESTRING ((606184.75736048 5348384.3257233,605408.879151843 5347518.81293108));490;w522560593;522560593;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1162,368009
MULTILINESTRING ((606171.217554606 5348293.20513181,605408.879151843 5347518.81293108));491;w522560594;522560594;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1086,666058
MULTILINESTRING ((606155.981581474 5348190.19074409,605408.879151843 5347518.81293108));492;w522560595;522560595;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1004,445224
MULTILINESTRING ((606146.827922481 5348191.13196108,605408.879151843 5347518.81293108));493;w522560596;522560596;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;998,2891696
MULTILINESTRING ((606162.955359904 5348294.42666828,605408.879151843 5347518.81293108));494;w522560597;522560597;way;;;;;;generator;;;;;;;;;;;;;;photovoltaic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1081,76134
MULTILINESTRING ((545490.435931704 5357040.70560298,544871.734035319 5361674.20985997));495;w558783264;558783264;way;;Hackschnitzel-Heizwerk;;;wood;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;135;UW Krems;;9079;y;n;n;4674,628727
MULTILINESTRING ((176080.88145111 5237380.28670174,175919.875800365 5237588.69501562));496;w566132574;566132574;way;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;498;535;KW Imst;;9220;y;n;n;263,3568774
MULTILINESTRING ((608160.406267772 5331196.91580406,605750.419596235 5331122.63064356));497;w567088239;567088239;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;178;UW Wien Suedost;;4230;y;y;y;2411,131278
MULTILINESTRING ((609861.306559587 5331031.43363603,612121.374869291 5332495.05942848));498;w567088240;567088240;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385;747;UW Schwechat;;9105;y;n;n;2692,602686
MULTILINESTRING ((487586.431544981 5310020.00824949,487297.537115288 5304127.13721427));499;w573110900;573110900;way;;;;yes;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127;102;WKW Opponitz;;4217;y;n;n;5899,948223
MULTILINESTRING ((373852.504981746 5194859.30700025,372561.967319792 5192181.59103001));500;w592380599;592380599;way;;Reißeck II;;430 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;de:Kraftwerksgruppe Reißeck-Kreuzeck;;;;;2016;;https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke/reisseck2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;406;UW Malta Hauptstufe;;9017;y;y;n;2972,482174
MULTILINESTRING ((606660.745675873 5340783.83490133,608816.236493887 5339547.81438193));501;w601864773;601864773;way;;Kleinwasserkraftwerk Wehr 1;;100 kW;hydro;plant;;;;;;;;Wien Energie;;;;;;;;;https://www.wien.gv.at/umwelt/gewaesser/donauinsel/kleinwasserkraftwerk.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;543;772;KW Donaustadt;;9268;y;n;n;2484,730849
MULTILINESTRING ((453380.134662694 5177535.7432992,452242.093530071 5178812.47655603));502;w603725586;603725586;way;;Sonnenkraftwerk Untermühlbach;photovoltaic;yes;solar;plant;;;;;;;;SKW Sonnenpark GmbH;;;;;;;2010;;;;;;1 MWp;;;;;;;;;;;;;;;;;;;;;;;;;302;458;UW St. Veit an der Glan;;9020;y;n;n;1710,317347
MULTILINESTRING ((133350.882394543 5236696.31484688,134576.158374027 5231586.50453975));503;w635726248;635726248;way;;Biomasse Heizwerk Zürs GmbH;;;;plant;;Lech;AT;297;6763;Zürs;;Biomasse Heizwerk Zürs GmbH;;;;;;;;;;;;;;;Zürs;;;;;;;;;;;;;;;;;;;;;;;225;543;UW Rauz;;4001;y;n;n;5254,661036
MULTILINESTRING ((495444.406355508 5326375.32328435,493246.74875161 5328765.66583868));504;w649175786;649175786;way;;;;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;375;93;UW Amstetten-Ost;;9094;y;n;n;3247,065825
MULTILINESTRING ((356891.042496912 5216509.6945562,356896.296092392 5216506.97715142));505;w659744850;659744850;way;;Kraftwerk Böckstein;;44.5 MW;hydro;plant;;Bad Gastein;AT;9;5645;Heilstollenstraße;;Salzburg AG;;;;;;;1981;;https://www.salzburg-ag.at/erzeugung/unsere-kraftwerke/wasserkraftwerk-bckstein-2593/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;159;520;KW Boeckstein;;4249;y;n;n;5,914774231
MULTILINESTRING ((352868.121297628 5214373.65737964,352882.330541162 5214363.83274471));506;w660188003;660188003;way;;Kraftwerk Nassfeld;;31.5 MW;hydro;plant;;;;;;;;Salzburg AG;Q30974119;;;;;;1982;;https://www.salzburg-ag.at/erzeugung/unsere-kraftwerke/wasserkraftwerk-nassfeld-2592/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;521;KW Nassfeld;;4248;y;n;n;17,2750124
MULTILINESTRING ((603477.079665586 5331343.96856585,605750.419596235 5331122.63064356));507;w672989364;672989364;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;178;UW Wien Suedost;;4230;y;y;y;2284,089516
MULTILINESTRING ((603295.052883 5331360.06576941,605750.419596235 5331122.63064356));508;w672989371;672989371;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;178;UW Wien Suedost;;4230;y;y;y;2466,820045
MULTILINESTRING ((312184.282916061 5229363.60007264,308806.374903588 5239198.73510052));509;w698991274;698991274;way;;Energierückgewinnungsstation Taimeralm;;2.5 MW;hydro;plant;;Mittersill;AT;41;5730;;;Transalpine Ölleitung in Österreich Ges.m.b.H;;;;;;;2018-09;;;;;;;;Unterfelben;01.04.2019;;;;;;;;;;;;;;;;;;;;;;446;393;UW Mittersill;;9166;y;n;n;10399,04532
MULTILINESTRING ((383663.435151603 5331799.59297149,389678.688015051 5340782.17573264));510;w701043650;701043650;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;410;36;UW Ried;;9130;y;n;n;10810,64568
MULTILINESTRING ((284752.662005954 5271409.3277414,285522.382839546 5273442.32718261));511;w720378945;720378945;way;;Kraftwerk Langkampfen;run-of-the-river;31.5 MW;hydro;plant;;;;;;;;Tiroler Wasserkraft AG;Q62084593;de:Kraftwerk Langkampfen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;496;633;UW Kufstein;;9217;y;n;n;2173,834605
MULTILINESTRING ((553206.344338226 5352189.74140293,552818.554601026 5348188.05710699));512;w726170676;726170676;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125;141;UW Herzogenburg;;4215;y;n;n;4020,430087
MULTILINESTRING ((518207.448845125 5176166.94437063,521455.388049852 5177591.67323522));513;w737562220;737562220;way;;Photovoltaikanlage IGE;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;460;736;UW Bergla;;9181;y;n;n;3546,683157
MULTILINESTRING ((607977.084006624 5343473.73634839,609111.643226073 5341292.47351934));514;w743179025;743179025;way;;;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;541;773;UW Wulzendorf;;9266;y;n;n;2458,685045
MULTILINESTRING ((228352.274310502 5242629.68997358,229886.229025125 5241522.08726273));515;w775688794;775688794;way;;Naturstrom Mühlau;;964 kW;hydro;plant;;;;;;;;Naturstrom Mühlau GmbH;;;;;;;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502;611;UW Inssbruck-Ost;;9224;y;n;n;1892,03616
MULTILINESTRING ((594256.592110437 5316357.40740166,595815.364287863 5318217.7684893));516;w776057844;776057844;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;176;UW Traiskirchen;;9051;y;n;n;2427,079331
MULTILINESTRING ((517486.147735833 5340713.17577513,520028.225097946 5340571.51884891));517;w776901780;776901780;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;121;UW Bergern;;9050;y;n;n;2546,02121
MULTILINESTRING ((381371.925682769 5249214.459562,378047.566900422 5246954.14154758));518;w778744393;778744393;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;447;514;UW Reitdorf;;9167;y;n;n;4019,999856
MULTILINESTRING ((379637.367250458 5250171.33029899,378047.566900422 5246954.14154758));519;w779442377;779442377;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;447;514;UW Reitdorf;;9167;y;n;n;3588,5608
MULTILINESTRING ((555704.559061359 5362022.93888204,552226.922213403 5360326.07534358));520;w787147013;787147013;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;138;UW Theiss;;9061;y;n;y;3869,535362
MULTILINESTRING ((557531.099286212 5362281.17260069,552226.922213403 5360326.07534358));521;w787147016;787147016;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;138;UW Theiss;;9061;y;n;y;5653,025712
MULTILINESTRING ((550005.103674077 5273997.49521641,549899.581712033 5270767.94837866));522;w802903363;802903363;way;;;run-of-the-river;~22 kW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;474;257;UW Muerzzuschlag;;9195;y;n;n;3231,270286
MULTILINESTRING ((504344.403725077 5199867.8887015,506961.475595167 5203758.89364472));523;w818057826;818057826;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;350;UW St. Martin;;4174;y;n;n;4689,241372
MULTILINESTRING ((334159.742176535 5249369.78128813,335198.423234727 5246122.82292669));524;w841795769;841795769;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;263;643;UW Maishofen;;4037;y;n;n;3409,046339
MULTILINESTRING ((334317.097800578 5250738.77982429,335198.423234727 5246122.82292669));525;w841893547;841893547;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;263;643;UW Maishofen;;4037;y;n;n;4699,339592
MULTILINESTRING ((477564.189100733 5281547.92097778,476699.742138278 5283409.94100133));526;w868159471;868159471;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2052,89725
MULTILINESTRING ((477398.457296606 5281689.36880511,476699.742138278 5283409.94100133));527;w868159473;868159473;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1857,032998
MULTILINESTRING ((477565.92268929 5281604.54477888,476699.742138278 5283409.94100133));528;w868159474;868159474;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2002,429591
MULTILINESTRING ((477556.04896607 5281611.683494,476699.742138278 5283409.94100133));529;w868159475;868159475;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1991,730766
MULTILINESTRING ((477552.856264973 5281526.78987474,476699.742138278 5283409.94100133));530;w868159478;868159478;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2067,380439
MULTILINESTRING ((477455.598399898 5281661.24245539,476699.742138278 5283409.94100133));531;w868159481;868159481;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1905,063068
MULTILINESTRING ((477528.596371892 5281639.29548636,476699.742138278 5283409.94100133));532;w868159482;868159482;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1955,04089
MULTILINESTRING ((477552.697573589 5281519.82913548,476699.742138278 5283409.94100133));533;w868159485;868159485;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2073,6576
MULTILINESTRING ((477568.084790751 5281583.13850186,476699.742138278 5283409.94100133));534;w868159488;868159488;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2022,678011
MULTILINESTRING ((477556.43575194 5281491.88151508,476699.742138278 5283409.94100133));535;w868159490;868159490;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2100,684684
MULTILINESTRING ((477552.993517001 5281533.62663667,476699.742138278 5283409.94100133));536;w868159494;868159494;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2061,211661
MULTILINESTRING ((477551.798522534 5281512.74434974,476699.742138278 5283409.94100133));537;w868159495;868159495;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2079,748835
MULTILINESTRING ((477546.690221375 5281618.86429827,476699.742138278 5283409.94100133));538;w868159496;868159496;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1981,231135
MULTILINESTRING ((477564.44285332 5281554.91077004,476699.742138278 5283409.94100133));539;w868159498;868159498;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2046,666677
MULTILINESTRING ((477544.46390167 5281484.75503445,476699.742138278 5283409.94100133));540;w868159500;868159500;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2102,354838
MULTILINESTRING ((477564.578896248 5281590.16461034,476699.742138278 5283409.94100133));541;w868159501;868159501;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2014,827221
MULTILINESTRING ((477417.845781313 5281675.10800762,476699.742138278 5283409.94100133));542;w868159503;868159503;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1877,583116
MULTILINESTRING ((477556.655315299 5281498.93191242,476699.742138278 5283409.94100133));543;w868159505;868159505;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2094,33902
MULTILINESTRING ((477565.843736559 5281597.29297605,476699.742138278 5283409.94100133));544;w868159506;868159506;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2008,936246
MULTILINESTRING ((477475.770018682 5281653.82155753,476699.742138278 5283409.94100133));545;w868159507;868159507;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1919,941346
MULTILINESTRING ((477553.49189892 5281540.81173491,476699.742138278 5283409.94100133));546;w868159508;868159508;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2054,880256
MULTILINESTRING ((477564.509186486 5281561.90621294,476699.742138278 5283409.94100133));547;w868159511;868159511;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2040,356495
MULTILINESTRING ((477511.479080915 5281646.17609219,476699.742138278 5283409.94100133));548;w868159512;868159512;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1941,593036
MULTILINESTRING ((477403.978536755 5281682.38417089,476699.742138278 5283409.94100133));549;w868159514;868159514;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1865,583423
MULTILINESTRING ((477567.68454822 5281569.07547473,476699.742138278 5283409.94100133));550;w868159517;868159517;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2035,217412
MULTILINESTRING ((477551.677881433 5281505.80832874,476699.742138278 5283409.94100133));551;w868159518;868159518;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2086,028702
MULTILINESTRING ((477540.15984856 5281626.01574249,476699.742138278 5283409.94100133));552;w868159519;868159519;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1971,976485
MULTILINESTRING ((477433.270585558 5281668.13159974,476699.742138278 5283409.94100133));553;w868159521;868159521;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1889,964014
MULTILINESTRING ((477567.859090627 5281576.03699695,476699.742138278 5283409.94100133));554;w868159524;868159524;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;2028,997521
MULTILINESTRING ((477528.584943008 5281632.70603434,476699.742138278 5283409.94100133));555;w868159525;868159525;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;657;KW Krippau;;4183;y;n;n;1961,005998
MULTILINESTRING ((518213.797588015 5176230.87232716,521455.388049852 5177591.67323522));556;w876554058;876554058;way;;Photovoltaikanlage eco-tec.at;photovoltaic;780 kWp;solar;plant;;;;;;;;eco-tec.at Photovoltaics GmbH;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;460;736;UW Bergla;;9181;y;n;n;3515,63477
MULTILINESTRING ((255343.169481906 5253376.64777698,255296.10158188 5253496.34637827));557;w878661844;878661844;way;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;615;Achensee KW;;4151;y;n;n;128,6201476
MULTILINESTRING ((280051.878915931 5266030.11033264,280723.141956225 5266536.13361542));558;w880516680;880516680;way;;Kraftwerk Kirchbichl Dotieranlage;run-of-the-river;;hydro;plant;;;;;;;;Tiroler Wasserkraft AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518;632;KW Kirchbichl;;9240;y;n;n;840,6269279
