WKT;fid;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;fid_2;id;name_2;osm_id_2;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((394824.460377952 5318686.3912377,394714.788372082 5318460.4792489));23;w33840137;33840137;way;industrial;Kraftwerk Timelkam;combustion;405 MW;gas;plant;;;;;;;;Energie AG OÖ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404;16;UW Timelkam;;9124;y;n;n;251,1258162
MULTILINESTRING ((608537.789250283 5336727.3405022,606902.992575894 5337383.30285791));24;w34202023;34202023;way;industrial;Entsorgungsbetriebe Simmering;;;waste;plant;;;;;;;;;Q1345460;de:Entsorgungsbetriebe Simmering;;;;;;;;;;;;;;;;;;;;;;incinerator;;;;;;;;;;;;;;542;771;KW Simmering;;9267;y;n;n;1761,489931
MULTILINESTRING ((608613.727458304 5336957.70597864,606902.992575894 5337383.30285791));25;w34202024;34202024;way;industrial;Müllverbrennungsanlage Pfaffenau / Biogas Wien;;;waste;plant;;Wien;AT;7;1110;Johann-Petrak-Gasse;;;Q1521834;de:Müllverbrennungsanlage Pfaffenau;MVA Pfaffenau;;;;;;https://www.wien.gv.at/umwelt/ma48/entsorgung/abfallbehandlungsanlagen/mva-pfaffenau.html;;;;;;;;;;;;;;;incinerator;;;;;;;;;;;;;;542;771;KW Simmering;;9267;y;n;n;1762,880184
MULTILINESTRING ((472968.607605999 5299523.407123,473026.601215468 5299485.00904177));26;w35016697;35016697;way;;Kraftwerk Weyer;run-of-the-river;36.8 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;Q1343462;de:Ennskraftwerke AG;;;;;1969;;https://www.verbund.com/pp/de/gewaesser/enns;yes;;;;;;;;;;;;;;;dam;;;;;;;;;;;;;95;661;WKW Enns;;4185;y;n;n;69,55337074
MULTILINESTRING ((426175.717931943 5371093.4588947,425068.132335706 5365026.31758178));27;w37117099;37117099;way;;Stausee Langhalsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;water;reservoir;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;6167,41028
MULTILINESTRING ((524514.789402916 5382201.82518746,524500.491433628 5382200.72163519));28;w39596992;39596992;way;industrial;Pumpspeicherkraftwerk Ottenstein;water-storage;48 MW;hydro;plant;;;;;;;;EVN;Q1417413;de:Stausee Ottenstein;;;;;06.07.1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;127;UW Ottenstein;;4214;y;n;n;14,34049348
MULTILINESTRING ((512122.327508494 5207225.2865051,512087.225418857 5207236.35963491));29;w41970883;41970883;way;industrial;Kraftwerk Arnstein;water-storage;30 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q17265581;de:Speicherkraftwerk Arnstein;;;;;;;https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/arnstein;;;;;;;;;;;;;;;;;;;1925;2;bda;Arnstein;Q15106751;119455;Category:Speicherkraftwerk Arnstein;;;;85;349;UW Arnstein;;4175;y;n;n;36,80721262
MULTILINESTRING ((442304.646685799 5339511.24118867,442334.600665608 5339350.6497948));30;w61015936;61015936;way;industrial;Kraftwerk Traun-Pucking;run-of-the-river;45.8 MW;hydro;plant;;;;;;;;Energie AG Oberösterreich;;;;;;;1983;;;industrial;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;concrete;concrete;;400;717;KW Traun-Pucking;;9120;y;n;n;163,3610623
MULTILINESTRING ((550666.872348838 5344792.32614235,551197.377724755 5341537.59177646));31;w70621821;70621821;way;;;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;337;115;UW Pottenbrunn;;9055;y;n;y;3297,685817
MULTILINESTRING ((582890.264512649 5286387.47168583,582774.758316227 5286420.49412867));32;w83202476;83202476;way;industrial;ehem. Heizkraftwerk Peisching;;;;plant;;;;;;;;;;;ehem. Kraftwerk Peisching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;377;163;UW Hohe Wand;;9096;y;n;n;120,1339383
MULTILINESTRING ((289608.356895578 5280240.92963316,289765.519275004 5280197.90082762));33;w83231884;83231884;way;;Wasserkraftwerk Oberaudorf-Ebbs;run-of-the-river;59 MW;hydro;plant;;;;;;;;Österreichisch-Bayerische Kraftwerke AG;Q21517380;de:Kraftwerk Oberaudorf-Ebbs;;;;;;;;yes;;;;1;;;;;;;;;;;weir;;;;;;;;;;;;;178;767;WKW Oberaufdorf-Ebbs;;4268;y;n;n;162,9462844
MULTILINESTRING ((396139.045482215 5154462.87032551,399933.539195351 5157254.08701668));34;w83249079;83249079;way;;Kraftwerk Thörl;;yes;hydro;plant;;Arnoldstein;AT;7;9602;;;KELAG;;;;;;;1939;;;industrial;;;;;Thörl-Maglern-Greuth;;;;;;;;;;;;;;;;;;;;;;01.10.2018;304;437;UW Gailitz;;9022;y;n;n;4710,527906
MULTILINESTRING ((563378.494416374 5358281.86273065,565608.945646392 5356010.53632587));35;w83615732;83615732;way;industrial;Donaukraftwerk Altenwörth;run-of-the-river;328 MW;hydro;plant;;;;;;;;;Q1557799;de:Kraftwerk Altenwörth;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;386;75;UW Zwentendorf;;9106;y;n;n;3183,368707
MULTILINESTRING ((372682.21647466 5192143.70989487,372561.967319792 5192181.59103001));36;w83805041;83805041;way;;Malta Hauptstufe;;730 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;Kraftstation Rottau;;;;1979;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;406;UW Malta Hauptstufe;;9017;y;y;n;126,0747383
MULTILINESTRING ((374946.33917545 5187938.13718729,374907.934240774 5187936.93599905));37;w83892419;83892419;way;;Malta Unterstufe;;41 MW;hydro;plant;;Lurnfeld;AT;7;9813;Kohlweg;;Verbund Hydro Power GmbH;;;Kraftstation Möllbrücke;;;;1979;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2017;70;414;KW Malta-Unterstufe;;4160;y;n;n;38,42371482
MULTILINESTRING ((507175.374574762 5248356.15843868,505325.739917556 5247574.86483681));38;w84505849;84505849;way;;Wasserkraftwerk Leoben;run-of-the-river;10 MW;hydro;plant;;Leoben;;10;8700;Südbahnstraße;Judendorf;Verbund Hydro Power GmbH;;;;;;;;12;https://www.verbund.com/pp/de/laufkraftwerk/leoben;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;87;746;Industriegebiet Vordernberg;;4177;y;n;n;2007,876505
MULTILINESTRING ((457738.915706533 5307923.99621291,457705.444350213 5307922.05035855));39;w85673117;85673117;way;;Kraftwerk Losenstein;run-of-the-river;39 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;;;;;;;;;;yes;;;;;;;;;;;;;;;dam;;;;;;;;;;;;;96;664;WKW Losenstein;;4186;y;n;n;33,52786965
MULTILINESTRING ((122052.630278694 5215286.70028879,123897.930506392 5213595.1142013));40;w85799225;85799225;way;;Biomasse Heizwerk;;;;plant;;Gaschurn;AT;67d;6793;Montafonerstraße;;;;;;;;;;;;yes;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;43;550;UW Vermuntwerk;;4133;y;y;n;2503,317084
MULTILINESTRING ((123475.61966987 5208997.54938722,123897.930506392 5213595.1142013));41;w85800534;85800534;way;industrial;Obervermuntwerk 1;water-pumped-storage;29 MW;hydro;plant;;;;;;;;Vorarlberger Illwerke AG;Q1760845;de:Obervermuntwerk;;;;;;;https://www.illwerkevkw.at/obervermuntwerk-i.htm;;;;francis_turbine;;;;;;;;;;2;;;;;;;;;;;;;;;43;550;UW Vermuntwerk;;4133;y;y;n;4616,919824
MULTILINESTRING ((353036.177672516 5192230.80001356,353031.912042778 5192250.3766949));42;w86276232;86276232;way;;Kraftwerk Wölla;;18 MW;hydro;plant;;;;;;;;KELAG;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;426;KW Woella;;4157;y;n;n;20,0360188
MULTILINESTRING ((344682.938435944 5206685.63510375,344669.57796444 5206677.4744149));43;w86299764;86299764;way;;Kraftwerk Zirknitz;;32 MW;hydro;plant;;;;;;;;KELAG;;;;;;;1973;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;428;KW Zirknitz;;4156;y;n;n;15,65563928
MULTILINESTRING ((589927.984750522 5239793.89696267,589686.408654503 5237884.40667482));44;w86585581;86585581;way;industrial;Biomassekraftwerk Oberwart;;;biomass;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;762;Oberwart a;;4155;y;n;n;1924,710931
MULTILINESTRING ((569606.420664608 5383409.02272275,579026.721263727 5379027.60365595));45;w88811958;88811958;way;industrial;Fernwärme Heizwerk Sitzendorf an der Schmida;;;biomass;plant;;Sitzendorf an der Schmida;;;3714;Schulgasse;;EVN Niederösterreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;67;UW Hollabrunn;;9069;y;n;n;10389,36458
MULTILINESTRING ((356462.054141313 5223673.15356848,356460.952008953 5223684.00993623));46;w88844735;88844735;way;industrial;UW Angertal;;;;plant;;;;;;;;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;438;518;UW Angertal;;9158;y;n;n;10,91216827
MULTILINESTRING ((356149.838653966 5199620.81673414,356137.348996453 5199565.06871781));47;w89014438;89014438;way;;Kraftwerk Außerfragant;;96 MW;hydro;plant;;;;;;;;KELAG;Q30974036;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;422;KW Ausserfragant;;9018;y;n;n;57,12996473
MULTILINESTRING ((354786.234967658 5199574.2053202,356137.348996453 5199565.06871781));48;w89027365;89027365;way;;Kraftwerk Gößnitz;;8 MW;hydro;plant;;Flattach;AT;70;9831;;;KELAG;;;;;;;1965;;;yes;;;;;Außerfragant;;;;;;;;;;;;;;;;;;;;;;01.10.2017;300;422;KW Ausserfragant;;9018;y;n;n;1351,144921
MULTILINESTRING ((365086.814693702 5255755.19194278,364922.481530444 5248845.2203878));49;w90197334;90197334;way;;Kraftwerk Kreuzbergmaut;run-of-the-river;18 MW;hydro;plant;;;;;;;;Salzburg AG;Q26834581;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;177;9;UW Pongau;;4267;y;n;n;6911,925367
MULTILINESTRING ((445456.165100448 5283440.65756954,451023.479303716 5270840.02897389));50;w90940218;90940218;way;;;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;481;652;UW Ardning;;9202;y;n;n;13775,73332
MULTILINESTRING ((351852.706710375 5204479.4981033,351835.418160692 5204501.07561014));51;w91964304;91964304;way;;Kraftwerk Innerfragant;;178 MW;hydro;plant;;;;;;;;KELAG;;;;;;;1968;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;423;UW Innerfragant;;9040;y;n;n;27,64928122
MULTILINESTRING ((427660.823718969 5359567.84704906,425068.132335706 5365026.31758178));52;w92873348;92873348;way;;Kraftwerk Aschach;run-of-the-river;324 MW;hydro;plant;;;;;;;;;Q1705512;de:Kraftwerk Aschach;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;6042,925547
MULTILINESTRING ((382194.559826449 5165109.90216986,375980.206711467 5165161.6701575));53;w93071443;93071443;way;;Kraftwerk Förolach;;900 kW;hydro;plant;;;;;;;;VVT Vermögensverwaltung GmbH;;;;;;;1942;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;310;508;UW Hermagor;;9028;y;n;n;6214,568735
MULTILINESTRING ((320137.555197609 5226737.67195788,327443.529727218 5229930.89688477));54;w94208758;94208758;way;;Kraftwerk Enzingerboden;;81 MW;hydro;plant;;;;;;;;ÖBB;Q30974227;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;387;KKW Limberg 2;;4247;y;n;y;7973,327364
MULTILINESTRING ((373638.929205971 5166633.1650754,375980.206711467 5165161.6701575));55;w95567608;95567608;way;;;;yes;hydro;plant;;;;;;;;Hasslacher Hermagor GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;310;508;UW Hermagor;;9028;y;n;n;2765,298836
MULTILINESTRING ((488002.825262757 5268912.19449575,492941.351469147 5265502.6643891));56;w95868611;95868611;way;;Laufkraftwerk Erzbach;;;;plant;;Eisenerz;AT;118;8790;Hieflauer Straße;;Verbund AG;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;02.10.2016;264;659;UW Trofeng;;4038;y;n;n;6001,161274
MULTILINESTRING ((525498.096777924 5225932.52773855,525511.20565389 5225908.66992682));57;w96176849;96176849;way;industrial;Kraftwerk Friesach;run-of-the-river;12 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;240;KW Friesach;;4259;y;n;n;27,22200966
MULTILINESTRING ((424990.736129754 5364979.79774364,425068.132335706 5365026.31758178));58;w96250617;96250617;way;industrial;Kraftwerk Partenstein;water-storage;33.8 MW;hydro;plant;;Neuhaus;;22;4114;Partenstein;;Energie AG;Q2308607;de:Speicherkraftwerk Partenstein;;;;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;90,3009858
MULTILINESTRING ((105751.320507796 5260423.36989928,104041.921879151 5266652.02059445));59;w96733014;96733014;way;;Kraftwerk Ebensand;run-of-the-river;1.8 MW;hydro;plant;;;;;;;;Vorarlberger Kraftwerke AG;Q1786088;de:Kraftwerk Ebensand;;;;;1899;;;yes;;;pelton_turbine;;;;;;;;;;;;;;;;;;;;;;;;;534;590;UW Haselstauden;;9258;y;n;n;6458,95759
MULTILINESTRING ((480652.424257615 5272501.47714527,480659.266967763 5272505.39765233));60;w96763013;96763013;way;industrial;Kraftwerk Hieflau;water-storage;63 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q30973607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;247;UW Hieflau;;4181;y;n;n;7,886257526
MULTILINESTRING ((525211.041580261 5245766.6018763,520664.821464932 5252244.29896818));61;w97097992;97097992;way;industrial;Kraftwerk Pernegg;run-of-the-river;26 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q37889838;;Ausleitungskraftwerk Pernegg;;;;;;https://www.verbund.com/pp/de/laufkraftwerk/pernegg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454;244;UW Bruck an der Mur;;9175;y;n;n;7913,828211
MULTILINESTRING ((407761.311202915 5371510.00569909,407788.653329209 5371485.0810394));62;w97989146;97989146;way;industrial;Kraftwerk Ranna;water-storage;19 MW;hydro;plant;;;;;;;;Energie AG;Q282216;de:Pumpspeicherkraftwerk Ranna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;702;KW Ranna;;4199;y;n;n;36,99770981
MULTILINESTRING ((507271.093907757 5309810.88714067,507239.807880353 5309882.31953767));63;w98635106;98635106;way;industrial;Kraftwerk Gaming I;water-storage;yes;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274;103;UW Gaming;;4047;y;n;n;77,98334983
MULTILINESTRING ((364693.115758188 5239413.10405822,359275.446509359 5241898.97547115));64;w100014341;100014341;way;industrial;;;;;plant;;Großarl;AT;5;5611;Neue Wacht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2017;441;515;FKW Schwarzach;;9161;y;n;n;5960,763103
MULTILINESTRING ((335656.797563977 5262049.94585129,335665.71200285 5261998.31520926));65;w102702768;102702768;way;industrial;Kraftwerk Dießbach;;yes;hydro;plant;;;;;;;;Salzburg AG;Q20791816;de:Kraftwerk Dießbach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;647;KW Diessbach;;4106;y;n;n;52,39456477
MULTILINESTRING ((449898.274360032 5349809.40011884,449794.548475349 5349933.88444037));66;w103267751;103267751;way;industrial;Biomassekraftwerk;combustion;8.9 MW;biomass;plant;;;;;;;;Linz AG;;;;;;;;;;industrial;;;;;;;21 MW;;;;;;;;;;;;;;;;;;;;;119;688;UW Linz-Mitte;;4209;y;n;n;162,0351982
MULTILINESTRING ((449740.021973418 5349861.19835314,449794.548475349 5349933.88444037));67;w103267837;103267837;way;industrial;Gas- und Dampfturbinenanlage;combustion;227 MW;gas;plant;;;;;;;;Linz AG;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;688;UW Linz-Mitte;;4209;y;n;n;90,86477144
MULTILINESTRING ((544643.961599473 5181448.27334001,544622.330606468 5181469.97208158));68;w103776186;103776186;way;industrial;Kraftwerk Gabersdorf;run-of-the-river;15 MW;hydro;plant;;Wagna;AT;7;8435;Kraftwerkweg;;Verbund Hydro Power GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2018;163;366;KW Gabersdorf;;4253;y;n;n;30,6387866
